date,forecast_units,sku
2024-07-14,31.041622,SKU_150
2024-07-21,30.642994,SKU_150
2024-07-28,30.244377,SKU_150
2024-08-04,29.878523,SKU_150
2024-08-11,29.512686,SKU_150
2024-08-18,29.11405,SKU_150
2024-08-25,28.715435,SKU_150
2024-09-01,28.349583,SKU_150
2024-09-08,27.983744,SKU_150
2024-06-23,29.379002,SKU_151
2024-06-30,28.814423,SKU_151
2024-07-07,28.249834,SKU_151
2024-07-14,27.594517,SKU_151
2024-07-21,27.029926,SKU_151
2024-07-28,26.46532,SKU_151
2024-08-04,25.810026,SKU_151
2024-08-11,25.154703,SKU_151
2024-08-18,24.590117,SKU_151
2024-08-25,24.025509,SKU_151
2024-09-01,23.37021,SKU_151
2024-09-08,22.714886,SKU_151
2024-06-23,-14.011803,SKU_152
2024-06-30,-14.130957,SKU_152
2024-07-07,-14.250081,SKU_152
2024-07-14,-14.223112,SKU_152
2024-07-21,-14.342234,SKU_152
2024-07-28,-14.461323,SKU_152
2024-08-04,-14.434391,SKU_152
2024-08-11,-14.407414,SKU_152
2024-08-18,-14.526542,SKU_152
2024-08-25,-14.645634,SKU_152
2024-09-01,-14.618695,SKU_152
2024-09-08,-14.591717,SKU_152
2024-06-16,49.796352,SKU_153
2024-06-23,49.555042,SKU_153
2024-06-30,49.50006,SKU_153
2024-07-07,49.445065,SKU_153
2024-07-14,49.296913,SKU_153
2024-07-21,49.241917,SKU_153
2024-07-28,49.186913,SKU_153
2024-08-04,49.03877,SKU_153
2024-08-11,48.890614,SKU_153
2024-08-18,48.83562,SKU_153
2024-08-25,48.780617,SKU_153
2024-09-01,48.632477,SKU_153
2024-06-23,-16.871008,SKU_154
2024-06-30,-16.614386,SKU_154
2024-07-07,-16.357792,SKU_154
2024-07-14,-16.033474,SKU_154
2024-07-21,-15.776876,SKU_154
2024-07-28,-15.520311,SKU_154
2024-08-04,-15.195961,SKU_154
2024-08-11,-14.871647,SKU_154
2024-08-18,-14.615042,SKU_154
2024-08-25,-14.358477,SKU_154
2024-09-01,-14.034132,SKU_154
2024-09-08,-13.709819,SKU_154
2024-06-23,-5.7318263,SKU_155
2024-06-30,-5.3709655,SKU_155
2024-07-07,-5.0101075,SKU_155
2024-07-14,-4.6422777,SKU_155
2024-07-21,-4.2814164,SKU_155
2024-07-28,-3.9205556,SKU_155
2024-08-04,-3.552732,SKU_155
2024-08-11,-3.1849084,SKU_155
2024-08-18,-2.8240442,SKU_155
2024-08-25,-2.46318,SKU_155
2024-09-01,-2.0953567,SKU_155
2024-09-08,-1.7275331,SKU_155
2024-06-23,87.28692,SKU_156
2024-06-30,87.4172,SKU_156
2024-07-07,87.547386,SKU_156
2024-07-14,87.62618,SKU_156
2024-07-21,87.75637,SKU_156
2024-07-28,87.88647,SKU_156
2024-08-04,87.965355,SKU_156
2024-08-11,88.044136,SKU_156
2024-08-18,88.17433,SKU_156
2024-08-25,88.30445,SKU_156
2024-09-01,88.38332,SKU_156
2024-09-08,88.4621,SKU_156
2024-06-30,24.749979,SKU_157
2024-07-07,24.70596,SKU_157
2024-07-14,24.640234,SKU_157
2024-07-21,24.596212,SKU_157
2024-07-28,24.552206,SKU_157
2024-08-04,24.486465,SKU_157
2024-08-11,24.420746,SKU_157
2024-08-18,24.376719,SKU_157
2024-08-25,24.332708,SKU_157
2024-09-01,24.266973,SKU_157
2024-09-08,24.201248,SKU_157
2024-09-15,24.15722,SKU_157
2024-06-23,8.92818,SKU_158
2024-06-30,8.833115,SKU_158
2024-07-07,8.737965,SKU_158
2024-07-14,8.731621,SKU_158
2024-07-21,8.636473,SKU_158
2024-07-28,8.5412445,SKU_158
2024-08-04,8.534986,SKU_158
2024-08-11,8.528633,SKU_158
2024-08-18,8.4335,SKU_158
2024-08-25,8.338274,SKU_158
2024-09-01,8.332008,SKU_158
2024-09-08,8.3256445,SKU_158
2024-06-23,21.018764,SKU_159
2024-06-30,20.81475,SKU_159
2024-07-07,20.610752,SKU_159
2024-07-14,20.4658,SKU_159
2024-07-21,20.261799,SKU_159
2024-07-28,20.05781,SKU_159
2024-08-04,19.912846,SKU_159
2024-08-11,19.767897,SKU_159
2024-08-18,19.56389,SKU_159
2024-08-25,19.359901,SKU_159
2024-09-01,19.214937,SKU_159
2024-09-08,19.069988,SKU_159
2024-06-23,14.586625,SKU_160
2024-06-30,14.357531,SKU_160
2024-07-07,14.128465,SKU_160
2024-07-14,13.938918,SKU_160
2024-07-21,13.709852,SKU_160
2024-07-28,13.480818,SKU_160
2024-08-04,13.29124,SKU_160
2024-08-11,13.101699,SKU_160
2024-08-18,12.87263,SKU_160
2024-08-25,12.643591,SKU_160
2024-09-01,12.454016,SKU_160
2024-09-08,12.264474,SKU_160
2024-06-23,6.0454516,SKU_161
2024-06-30,6.0157366,SKU_161
2024-07-07,5.986122,SKU_161
2024-07-14,6.0003715,SKU_161
2024-07-21,5.9707527,SKU_161
2024-07-28,5.941225,SKU_161
2024-08-04,5.9553814,SKU_161
2024-08-11,5.9696417,SKU_161
2024-08-18,5.940008,SKU_161
2024-08-25,5.9104724,SKU_161
2024-09-01,5.92464,SKU_161
2024-09-08,5.938915,SKU_161
2024-06-23,-11.329857,SKU_162
2024-06-30,-11.138165,SKU_162
2024-07-07,-10.946487,SKU_162
2024-07-14,-10.635736,SKU_162
2024-07-21,-10.444055,SKU_162
2024-07-28,-10.252392,SKU_162
2024-08-04,-9.941626,SKU_162
